position_x,position_y,task_type,wifi_rssi,wifi_snr,wifi_bandwidth,wifi_latency,wifi_distance,5g_rssi,5g_snr,5g_bandwidth,5g_latency,5g_distance,ble_rssi,ble_snr,ble_bandwidth,ble_latency,ble_distance,optimal_network
990,230,1,-999.0,-999.0,0.0,9999,9999.0,-70.7,29.3,200.0,10,158.11388300841898,-999.0,-999.0,0.0,9999,9999.0,1
990,240,1,-999.0,-999.0,0.0,9999,9999.0,-62.1,37.9,200.0,10,166.43316977093238,-999.0,-999.0,0.0,9999,9999.0,1
990,250,0,-999.0,-999.0,0.0,9999,9999.0,-73.3,26.7,200.0,10,174.92855684535903,-999.0,-999.0,0.0,9999,9999.0,1
990,260,0,-999.0,-999.0,0.0,9999,9999.0,-75.1,24.9,200.0,10,183.5755975068582,-999.0,-999.0,0.0,9999,9999.0,1
990,270,0,-999.0,-999.0,0.0,9999,9999.0,-72.9,27.1,200.0,10,192.35384061671346,-999.0,-999.0,0.0,9999,9999.0,1
990,280,0,-999.0,-999.0,0.0,9999,9999.0,-72.9,27.1,200.0,10,201.24611797498108,-999.0,-999.0,0.0,9999,9999.0,1
990,290,0,-999.0,-999.0,0.0,9999,9999.0,-72.8,27.2,200.0,10,210.23796041628637,-999.0,-999.0,0.0,9999,9999.0,1
990,300,2,-999.0,-999.0,0.0,9999,9999.0,-78.0,22.0,200.0,10,417.2529209005013,-999.0,-999.0,0.0,9999,9999.0,1
990,310,2,-999.0,-999.0,0.0,9999,9999.0,-71.8,28.2,200.0,10,228.47319317591726,-999.0,-999.0,0.0,9999,9999.0,1
990,320,0,-999.0,-999.0,0.0,9999,9999.0,-70.2,29.8,200.0,10,237.69728648009425,-999.0,-999.0,0.0,9999,9999.0,1
990,330,2,-999.0,-999.0,0.0,9999,9999.0,-68.5,31.5,200.0,10,246.9817807045694,-999.0,-999.0,0.0,9999,9999.0,1
990,340,0,-999.0,-999.0,0.0,9999,9999.0,-73.7,26.3,200.0,10,256.3201123595259,-999.0,-999.0,0.0,9999,9999.0,1
990,350,0,-999.0,-999.0,0.0,9999,9999.0,-68.6,31.4,200.0,10,265.70660511172844,-999.0,-999.0,0.0,9999,9999.0,1
990,360,1,-999.0,-999.0,0.0,9999,9999.0,-74.1,25.9,200.0,10,275.13632984395207,-999.0,-999.0,0.0,9999,9999.0,1
990,370,0,-999.0,-999.0,0.0,9999,9999.0,-76.0,24.0,200.0,10,284.60498941515414,-999.0,-999.0,0.0,9999,9999.0,1
990,380,2,-999.0,-999.0,0.0,9999,9999.0,-69.8,30.2,200.0,10,294.10882339705483,-999.0,-999.0,0.0,9999,9999.0,1
990,390,0,-999.0,-999.0,0.0,9999,9999.0,-72.0,28.0,200.0,10,303.6445290137795,-999.0,-999.0,0.0,9999,9999.0,1
990,400,2,-999.0,-999.0,0.0,9999,9999.0,-72.9,27.1,200.0,10,313.2091952673165,-999.0,-999.0,0.0,9999,9999.0,1
990,410,0,-999.0,-999.0,0.0,9999,9999.0,-72.5,27.5,200.0,10,346.69871646719434,-999.0,-999.0,0.0,9999,9999.0,1
990,420,2,-999.0,-999.0,0.0,9999,9999.0,-76.4,23.6,200.0,10,332.41540277189324,-999.0,-999.0,0.0,9999,9999.0,1
990,430,0,-999.0,-999.0,0.0,9999,9999.0,-68.0,32.0,200.0,10,342.0526275297414,-999.0,-999.0,0.0,9999,9999.0,1
990,440,0,-999.0,-999.0,0.0,9999,9999.0,-73.6,26.4,200.0,10,331.2099032335839,-999.0,-999.0,0.0,9999,9999.0,1
990,450,0,-999.0,-999.0,0.0,9999,9999.0,-75.1,24.9,200.0,10,361.386219991853,-999.0,-999.0,0.0,9999,9999.0,1
990,460,0,-999.0,-999.0,0.0,9999,9999.0,-74.2,25.8,200.0,10,371.07950630558946,-999.0,-999.0,0.0,9999,9999.0,1
990,470,1,-999.0,-999.0,0.0,9999,9999.0,-74.1,25.9,200.0,10,380.7886552931954,-999.0,-999.0,0.0,9999,9999.0,1
990,480,2,-999.0,-999.0,0.0,9999,9999.0,-74.1,25.9,200.0,10,313.8470965295043,-999.0,-999.0,0.0,9999,9999.0,1
990,490,0,-999.0,-999.0,0.0,9999,9999.0,-72.1,27.9,200.0,10,525.5473337388365,-999.0,-999.0,0.0,9999,9999.0,1
990,500,2,-999.0,-999.0,0.0,9999,9999.0,-79.1,20.9,200.0,10,410.0,-999.0,-999.0,0.0,9999,9999.0,1
990,510,0,-999.0,-999.0,0.0,9999,9999.0,-76.3,23.7,200.0,10,533.1041174104736,-999.0,-999.0,0.0,9999,9999.0,1
990,520,0,-999.0,-999.0,0.0,9999,9999.0,-75.0,25.0,200.0,10,300.83217912982644,-999.0,-999.0,0.0,9999,9999.0,1
990,530,0,-999.0,-999.0,0.0,9999,9999.0,-75.8,24.2,200.0,10,439.31765272977594,-999.0,-999.0,0.0,9999,9999.0,1
990,540,1,-999.0,-999.0,0.0,9999,9999.0,-65.3,34.7,200.0,10,296.1418578992169,-999.0,-999.0,0.0,9999,9999.0,1
990,550,1,-999.0,-999.0,0.0,9999,9999.0,-71.8,28.2,200.0,10,458.9117562233506,-999.0,-999.0,0.0,9999,9999.0,1
990,560,2,-999.0,-999.0,0.0,9999,9999.0,-68.0,32.0,200.0,10,468.7216658103186,-999.0,-999.0,0.0,9999,9999.0,1
